crop_id,geography_id,date,price_php_per_kg,currency,price_unit,data_kind,dataset_version,reference_sources
avocado,province_0102800000,2023-09-01,57.20,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2023-10-01,59.52,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2023-11-01,62.24,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2023-12-01,61.27,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-01-01,59.25,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-02-01,56.76,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-03-01,56.46,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-04-01,57.23,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-05-01,58.01,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-06-01,61.46,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-07-01,60.26,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-08-01,59.15,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-09-01,60.39,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-10-01,63.39,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
avocado,province_0102800000,2024-11-01,63.94,PHP,PHP/kg,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08|DA-PRICE-MONITORING
