crop_id,geography_id,suitability_class,data_kind,dataset_version,reference_sources,method_note
avocado,mun_0102801000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102802000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102803000,low_suitability,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102804000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102805000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102806000,no_data,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102807000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102808000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102809000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102810000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102811000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102812000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102813000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102814000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102815000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102816000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102817000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102818000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102819000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102820000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102821000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102822000,low_suitability,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102823000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102901000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102902000,moderately_suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
avocado,mun_0102903000,suitable,synthetic_demo,demo-2026-09-v1,PSA-OPENSTAT-2M4AFN08,Synthetic hash allocation for demo coverage only. This is not a soil survey or a real-world location assessment.
