crop_id,geography_id,period_start,period_end,planned_area_ha,reference_area_ha,area_unit,ratio,risk_level,data_kind,dataset_version
avocado,mun_0102801000,2027-01-01,2027-03-31,32.7997,19.9998,ha,1.640001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102801000,2027-04-01,2027-06-30,16.8748,20.8331,ha,0.809999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102801000,2027-07-01,2027-09-30,17.4077,24.8682,ha,0.699998,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102801000,2027-10-01,2027-12-31,29.8102,20.8463,ha,1.430000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102802000,2027-01-01,2027-03-31,35.1097,28.3143,ha,1.239999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102802000,2027-04-01,2027-06-30,26.5447,29.4941,ha,0.900000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102802000,2027-07-01,2027-09-30,22.8843,35.2066,ha,0.650000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102802000,2027-10-01,2027-12-31,49.2862,29.5127,ha,1.670000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102803000,2027-01-01,2027-03-31,41.7569,25.6177,ha,1.630002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102803000,2027-04-01,2027-06-30,24.0166,26.6851,ha,0.900000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102803000,2027-07-01,2027-09-30,19.7492,31.8536,ha,0.619999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102803000,2027-10-01,2027-12-31,24.8329,26.7020,ha,0.930001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102804000,2027-01-01,2027-03-31,26.8177,26.2919,ha,1.019999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102804000,2027-04-01,2027-06-30,38.0685,27.3874,ha,1.390001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102804000,2027-07-01,2027-09-30,46.7494,32.6919,ha,1.429999,high,synthetic_demo,demo-2026-09-v1
