geography_id,name,level,code,parent_geography_id,country,island_group,active
region_0100000000,Region I (Ilocos Region),region,0100000000,,Philippines,Luzon,true
region_0200000000,Region II (Cagayan Valley),region,0200000000,,Philippines,Luzon,true
region_0300000000,Region III (Central Luzon),region,0300000000,,Philippines,Luzon,true
region_0400000000,Region IV-A (CALABARZON),region,0400000000,,Philippines,Luzon,true
region_0500000000,Region V (Bicol Region),region,0500000000,,Philippines,Luzon,true
region_1300000000,National Capital Region (NCR),region,1300000000,,Philippines,Luzon,true
region_1400000000,Cordillera Administrative Region (CAR),region,1400000000,,Philippines,Luzon,true
region_1700000000,MIMAROPA Region,region,1700000000,,Philippines,Luzon,true
province_0102800000,Ilocos Norte,province,0102800000,region_0100000000,Philippines,Luzon,true
province_0102900000,Ilocos Sur,province,0102900000,region_0100000000,Philippines,Luzon,true
province_0103300000,La Union,province,0103300000,region_0100000000,Philippines,Luzon,true
province_0105500000,Pangasinan,province,0105500000,region_0100000000,Philippines,Luzon,true
province_0200900000,Batanes,province,0200900000,region_0200000000,Philippines,Luzon,true
province_0201500000,Cagayan,province,0201500000,region_0200000000,Philippines,Luzon,true
province_0203100000,Isabela,province,0203100000,region_0200000000,Philippines,Luzon,true
province_0205000000,Nueva Vizcaya,province,0205000000,region_0200000000,Philippines,Luzon,true
province_0205700000,Quirino,province,0205700000,region_0200000000,Philippines,Luzon,true
province_0300800000,Bataan,province,0300800000,region_0300000000,Philippines,Luzon,true
province_0301400000,Bulacan,province,0301400000,region_0300000000,Philippines,Luzon,true
province_0304900000,Nueva Ecija,province,0304900000,region_0300000000,Philippines,Luzon,true
province_0305400000,Pampanga,province,0305400000,region_0300000000,Philippines,Luzon,true
province_0306900000,Tarlac,province,0306900000,region_0300000000,Philippines,Luzon,true
province_0307100000,Zambales,province,0307100000,region_0300000000,Philippines,Luzon,true
province_0307700000,Aurora,province,0307700000,region_0300000000,Philippines,Luzon,true
province_0401000000,Batangas,province,0401000000,region_0400000000,Philippines,Luzon,true
province_0402100000,Cavite,province,0402100000,region_0400000000,Philippines,Luzon,true
province_0403400000,Laguna,province,0403400000,region_0400000000,Philippines,Luzon,true
province_0405600000,Quezon,province,0405600000,region_0400000000,Philippines,Luzon,true
province_0405800000,Rizal,province,0405800000,region_0400000000,Philippines,Luzon,true
province_0500500000,Albay,province,0500500000,region_0500000000,Philippines,Luzon,true
province_0501600000,Camarines Norte,province,0501600000,region_0500000000,Philippines,Luzon,true
province_0501700000,Camarines Sur,province,0501700000,region_0500000000,Philippines,Luzon,true
province_0502000000,Catanduanes,province,0502000000,region_0500000000,Philippines,Luzon,true
province_0504100000,Masbate,province,0504100000,region_0500000000,Philippines,Luzon,true
province_0506200000,Sorsogon,province,0506200000,region_0500000000,Philippines,Luzon,true
province_1400100000,Abra,province,1400100000,region_1400000000,Philippines,Luzon,true
province_1401100000,Benguet,province,1401100000,region_1400000000,Philippines,Luzon,true
province_1402700000,Ifugao,province,1402700000,region_1400000000,Philippines,Luzon,true
province_1403200000,Kalinga,province,1403200000,region_1400000000,Philippines,Luzon,true
province_1404400000,Mountain Province,province,1404400000,region_1400000000,Philippines,Luzon,true
province_1408100000,Apayao,province,1408100000,region_1400000000,Philippines,Luzon,true
province_1704000000,Marinduque,province,1704000000,region_1700000000,Philippines,Luzon,true
province_1705100000,Occidental Mindoro,province,1705100000,region_1700000000,Philippines,Luzon,true
province_1705200000,Oriental Mindoro,province,1705200000,region_1700000000,Philippines,Luzon,true
province_1705300000,Palawan,province,1705300000,region_1700000000,Philippines,Luzon,true
province_1705900000,Romblon,province,1705900000,region_1700000000,Philippines,Luzon,true
mun_0102801000,Adams,municipality_city,0102801000,province_0102800000,Philippines,Luzon,true
mun_0102802000,Bacarra,municipality_city,0102802000,province_0102800000,Philippines,Luzon,true
mun_0102803000,Badoc,municipality_city,0102803000,province_0102800000,Philippines,Luzon,true
mun_0102804000,Bangui,municipality_city,0102804000,province_0102800000,Philippines,Luzon,true
mun_0102805000,City of Batac,municipality_city,0102805000,province_0102800000,Philippines,Luzon,true
mun_0102806000,Burgos,municipality_city,0102806000,province_0102800000,Philippines,Luzon,true
mun_0102807000,Carasi,municipality_city,0102807000,province_0102800000,Philippines,Luzon,true
mun_0102808000,Currimao,municipality_city,0102808000,province_0102800000,Philippines,Luzon,true
mun_0102809000,Dingras,municipality_city,0102809000,province_0102800000,Philippines,Luzon,true
mun_0102810000,Dumalneg,municipality_city,0102810000,province_0102800000,Philippines,Luzon,true
mun_0102811000,Banna,municipality_city,0102811000,province_0102800000,Philippines,Luzon,true
mun_0102812000,City of Laoag ,municipality_city,0102812000,province_0102800000,Philippines,Luzon,true
mun_0102813000,Marcos,municipality_city,0102813000,province_0102800000,Philippines,Luzon,true
mun_0102814000,Nueva Era,municipality_city,0102814000,province_0102800000,Philippines,Luzon,true
mun_0102815000,Pagudpud,municipality_city,0102815000,province_0102800000,Philippines,Luzon,true
mun_0102816000,Paoay,municipality_city,0102816000,province_0102800000,Philippines,Luzon,true
mun_0102817000,Pasuquin,municipality_city,0102817000,province_0102800000,Philippines,Luzon,true
mun_0102818000,Piddig,municipality_city,0102818000,province_0102800000,Philippines,Luzon,true
mun_0102819000,Pinili,municipality_city,0102819000,province_0102800000,Philippines,Luzon,true
mun_0102820000,San Nicolas,municipality_city,0102820000,province_0102800000,Philippines,Luzon,true
mun_0102821000,Sarrat,municipality_city,0102821000,province_0102800000,Philippines,Luzon,true
mun_0102822000,Solsona,municipality_city,0102822000,province_0102800000,Philippines,Luzon,true
mun_0102823000,Vintar,municipality_city,0102823000,province_0102800000,Philippines,Luzon,true
mun_0102901000,Alilem,municipality_city,0102901000,province_0102900000,Philippines,Luzon,true
mun_0102902000,Banayoyo,municipality_city,0102902000,province_0102900000,Philippines,Luzon,true
mun_0102903000,Bantay,municipality_city,0102903000,province_0102900000,Philippines,Luzon,true
mun_0102904000,Burgos,municipality_city,0102904000,province_0102900000,Philippines,Luzon,true
mun_0102905000,Cabugao,municipality_city,0102905000,province_0102900000,Philippines,Luzon,true
mun_0102906000,City of Candon,municipality_city,0102906000,province_0102900000,Philippines,Luzon,true
mun_0102907000,Caoayan,municipality_city,0102907000,province_0102900000,Philippines,Luzon,true
mun_0102908000,Cervantes,municipality_city,0102908000,province_0102900000,Philippines,Luzon,true
mun_0102909000,Galimuyod,municipality_city,0102909000,province_0102900000,Philippines,Luzon,true
mun_0102910000,Gregorio del Pilar,municipality_city,0102910000,province_0102900000,Philippines,Luzon,true
mun_0102911000,Lidlidda,municipality_city,0102911000,province_0102900000,Philippines,Luzon,true
mun_0102912000,Magsingal,municipality_city,0102912000,province_0102900000,Philippines,Luzon,true
mun_0102913000,Nagbukel,municipality_city,0102913000,province_0102900000,Philippines,Luzon,true
mun_0102914000,Narvacan,municipality_city,0102914000,province_0102900000,Philippines,Luzon,true
mun_0102915000,Quirino,municipality_city,0102915000,province_0102900000,Philippines,Luzon,true
mun_0102916000,Salcedo,municipality_city,0102916000,province_0102900000,Philippines,Luzon,true
mun_0102917000,San Emilio,municipality_city,0102917000,province_0102900000,Philippines,Luzon,true
mun_0102918000,San Esteban,municipality_city,0102918000,province_0102900000,Philippines,Luzon,true
mun_0102919000,San Ildefonso,municipality_city,0102919000,province_0102900000,Philippines,Luzon,true
mun_0102920000,San Juan,municipality_city,0102920000,province_0102900000,Philippines,Luzon,true
mun_0102921000,San Vicente,municipality_city,0102921000,province_0102900000,Philippines,Luzon,true
mun_0102922000,Santa,municipality_city,0102922000,province_0102900000,Philippines,Luzon,true
mun_0102923000,Santa Catalina,municipality_city,0102923000,province_0102900000,Philippines,Luzon,true
mun_0102924000,Santa Cruz,municipality_city,0102924000,province_0102900000,Philippines,Luzon,true
mun_0102925000,Santa Lucia,municipality_city,0102925000,province_0102900000,Philippines,Luzon,true
mun_0102926000,Santa Maria,municipality_city,0102926000,province_0102900000,Philippines,Luzon,true
mun_0102927000,Santiago,municipality_city,0102927000,province_0102900000,Philippines,Luzon,true
mun_0102928000,Santo Domingo,municipality_city,0102928000,province_0102900000,Philippines,Luzon,true
mun_0102929000,Sigay,municipality_city,0102929000,province_0102900000,Philippines,Luzon,true
mun_0102930000,Sinait,municipality_city,0102930000,province_0102900000,Philippines,Luzon,true
mun_0102931000,Sugpon,municipality_city,0102931000,province_0102900000,Philippines,Luzon,true
mun_0102932000,Suyo,municipality_city,0102932000,province_0102900000,Philippines,Luzon,true
mun_0102933000,Tagudin,municipality_city,0102933000,province_0102900000,Philippines,Luzon,true
mun_0102934000,City of Vigan ,municipality_city,0102934000,province_0102900000,Philippines,Luzon,true
mun_0103301000,Agoo,municipality_city,0103301000,province_0103300000,Philippines,Luzon,true
mun_0103302000,Aringay,municipality_city,0103302000,province_0103300000,Philippines,Luzon,true
mun_0103303000,Bacnotan,municipality_city,0103303000,province_0103300000,Philippines,Luzon,true
mun_0103304000,Bagulin,municipality_city,0103304000,province_0103300000,Philippines,Luzon,true
mun_0103305000,Balaoan,municipality_city,0103305000,province_0103300000,Philippines,Luzon,true
mun_0103306000,Bangar,municipality_city,0103306000,province_0103300000,Philippines,Luzon,true
mun_0103307000,Bauang,municipality_city,0103307000,province_0103300000,Philippines,Luzon,true
mun_0103308000,Burgos,municipality_city,0103308000,province_0103300000,Philippines,Luzon,true
mun_0103309000,Caba,municipality_city,0103309000,province_0103300000,Philippines,Luzon,true
mun_0103310000,Luna,municipality_city,0103310000,province_0103300000,Philippines,Luzon,true
mun_0103311000,Naguilian,municipality_city,0103311000,province_0103300000,Philippines,Luzon,true
mun_0103312000,Pugo,municipality_city,0103312000,province_0103300000,Philippines,Luzon,true
mun_0103313000,Rosario,municipality_city,0103313000,province_0103300000,Philippines,Luzon,true
mun_0103314000,City of San Fernando ,municipality_city,0103314000,province_0103300000,Philippines,Luzon,true
mun_0103315000,San Gabriel,municipality_city,0103315000,province_0103300000,Philippines,Luzon,true
mun_0103316000,San Juan,municipality_city,0103316000,province_0103300000,Philippines,Luzon,true
mun_0103317000,Santo Tomas,municipality_city,0103317000,province_0103300000,Philippines,Luzon,true
mun_0103318000,Santol,municipality_city,0103318000,province_0103300000,Philippines,Luzon,true
mun_0103319000,Sudipen,municipality_city,0103319000,province_0103300000,Philippines,Luzon,true
mun_0103320000,Tubao,municipality_city,0103320000,province_0103300000,Philippines,Luzon,true
mun_0105501000,Agno,municipality_city,0105501000,province_0105500000,Philippines,Luzon,true
mun_0105502000,Aguilar,municipality_city,0105502000,province_0105500000,Philippines,Luzon,true
mun_0105503000,City of Alaminos,municipality_city,0105503000,province_0105500000,Philippines,Luzon,true
mun_0105504000,Alcala,municipality_city,0105504000,province_0105500000,Philippines,Luzon,true
mun_0105505000,Anda,municipality_city,0105505000,province_0105500000,Philippines,Luzon,true
mun_0105506000,Asingan,municipality_city,0105506000,province_0105500000,Philippines,Luzon,true
mun_0105507000,Balungao,municipality_city,0105507000,province_0105500000,Philippines,Luzon,true
mun_0105508000,Bani,municipality_city,0105508000,province_0105500000,Philippines,Luzon,true
mun_0105509000,Basista,municipality_city,0105509000,province_0105500000,Philippines,Luzon,true
mun_0105510000,Bautista,municipality_city,0105510000,province_0105500000,Philippines,Luzon,true
mun_0105511000,Bayambang,municipality_city,0105511000,province_0105500000,Philippines,Luzon,true
mun_0105512000,Binalonan,municipality_city,0105512000,province_0105500000,Philippines,Luzon,true
mun_0105513000,Binmaley,municipality_city,0105513000,province_0105500000,Philippines,Luzon,true
mun_0105514000,Bolinao,municipality_city,0105514000,province_0105500000,Philippines,Luzon,true
mun_0105515000,Bugallon,municipality_city,0105515000,province_0105500000,Philippines,Luzon,true
mun_0105516000,Burgos,municipality_city,0105516000,province_0105500000,Philippines,Luzon,true
mun_0105517000,Calasiao,municipality_city,0105517000,province_0105500000,Philippines,Luzon,true
mun_0105518000,City of Dagupan,municipality_city,0105518000,province_0105500000,Philippines,Luzon,true
mun_0105519000,Dasol,municipality_city,0105519000,province_0105500000,Philippines,Luzon,true
mun_0105520000,Infanta,municipality_city,0105520000,province_0105500000,Philippines,Luzon,true
mun_0105521000,Labrador,municipality_city,0105521000,province_0105500000,Philippines,Luzon,true
mun_0105522000,Lingayen ,municipality_city,0105522000,province_0105500000,Philippines,Luzon,true
mun_0105523000,Mabini,municipality_city,0105523000,province_0105500000,Philippines,Luzon,true
mun_0105524000,Malasiqui,municipality_city,0105524000,province_0105500000,Philippines,Luzon,true
mun_0105525000,Manaoag,municipality_city,0105525000,province_0105500000,Philippines,Luzon,true
mun_0105526000,Mangaldan,municipality_city,0105526000,province_0105500000,Philippines,Luzon,true
mun_0105527000,Mangatarem,municipality_city,0105527000,province_0105500000,Philippines,Luzon,true
mun_0105528000,Mapandan,municipality_city,0105528000,province_0105500000,Philippines,Luzon,true
mun_0105529000,Natividad,municipality_city,0105529000,province_0105500000,Philippines,Luzon,true
mun_0105530000,Pozorrubio,municipality_city,0105530000,province_0105500000,Philippines,Luzon,true
mun_0105531000,Rosales,municipality_city,0105531000,province_0105500000,Philippines,Luzon,true
mun_0105532000,City of San Carlos,municipality_city,0105532000,province_0105500000,Philippines,Luzon,true
mun_0105533000,San Fabian,municipality_city,0105533000,province_0105500000,Philippines,Luzon,true
mun_0105534000,San Jacinto,municipality_city,0105534000,province_0105500000,Philippines,Luzon,true
mun_0105535000,San Manuel,municipality_city,0105535000,province_0105500000,Philippines,Luzon,true
mun_0105536000,San Nicolas,municipality_city,0105536000,province_0105500000,Philippines,Luzon,true
mun_0105537000,San Quintin,municipality_city,0105537000,province_0105500000,Philippines,Luzon,true
mun_0105538000,Santa Barbara,municipality_city,0105538000,province_0105500000,Philippines,Luzon,true
mun_0105539000,Santa Maria,municipality_city,0105539000,province_0105500000,Philippines,Luzon,true
mun_0105540000,Santo Tomas,municipality_city,0105540000,province_0105500000,Philippines,Luzon,true
mun_0105541000,Sison,municipality_city,0105541000,province_0105500000,Philippines,Luzon,true
mun_0105542000,Sual,municipality_city,0105542000,province_0105500000,Philippines,Luzon,true
